text,lang,published,entities
"Letzte Woche war ich zu Besuch beim Frauencafé im <redacted_mention>. Berührende Gespräche mit den Frauen, vielen Dank für die Einladung. Gerne komme ich wieder!

#freilassingistbunt #freilassing #berchtesgadenerland #traunstein #spdfraktion",de,17-12-2024,"['freilassingistbunt', 'freilassing', 'berchtesgadenerland', 'traunstein']"
Jahresabschluss der Bergener SPD mit Ehrung von Helmut Schreckenbauer für 50 Jahre Mitgliedschaft in der SPD. Vielen lieben Dank für die Einladung und die engagierte Arbeit. Spannende Diskussion zu vielen aktuellen Themen.,de,17-12-2024,"['Jahresabschluss', 'Helmut Schreckenbauer']"
Knapp 60 Seiten ist der Entwurf für das Wahlprogramm der SPD dick. Am heutigen Dienstag will ihn der Parteivorstand beschließen. In der künftigen Bundesregierung wollen die Sozialdemokraten vor allem drei Schwerpunkte setzen. 📰 ⤵️,de,17-12-2024,[]
"Folgt mir gern auch auf TikTok 😉

#froschschenkel",de,17-12-2024,[]
"Türchen Nr. 17: Wir werden das Bürgergeld durch eine aktivierende Grundsicherung ersetzen! 
 
Dank der grünen Wirtschaftspolitik steigt die Arbeitslosigkeit und es steigt auch der Anteil derjenigen, für die sich Arbeit schlicht nicht mehr lohnt. Zu viele Leistungsbezieher, davon die Hälfte mit ausländischem Pass, könnten arbeiten, tun es aber nicht. 

Die Folge: Die Ausgaben für Unterbringung und Heizkosten explodieren, die Anzahl der Empfänger auch. So viel kostet uns das Bürgergeld: 2023: 25,8 Mrd. Euro, 2024: 37,6 Mrd. Euro. 2025? Niemand weiß das, denn im Haushalt werden die Kosten – wie jedes Jahr - bewusst zu niedrig angesetzt. Schon jetzt ist klar: Der Steuerzahler muss – auch wie jedes Jahr - nachschießen, 2024 voraussichtlich 9,4 Mrd. Euro. 

Wir werden das Bürgergeld durch eine aktivierende Grundsicherung ersetzen. Dazu gehören eine ganze Reihe von Maßnahmen, die dazu beitragen werden, dass dann die Sozialleistungen wieder für diejenigen da sind, die sie wirklich brauchen!",de,17-12-2024,[]
"Der heutige Tag darf nicht unerwähnt bleiben. Für all die, die nicht die ganzen Stunden mitgelauscht haben (seid froh!) hier die Kurzfassung: Scholz erzählte, was er alles gerne machen will, was alles nicht gut läuft und was für tolle Ideen er doch hat. Irgendwie ist ihm nicht aufgefallen, dass er noch als Kanzler vor uns stand. Und auch als ex-Finanzminister. Und auch als Kanzlerkandidat der SPD, die seit 22 Jahren schon (mit)regiert. Egal.

Danach kamen diverse Reden von Grünen, Roten, Schwarzen und Gelben. Alle scharf in der Analyse wie das Land kurz vor dem Abgrund steht. Und? Was will man machen? Richtig. Genauso weiter. Schwarz mit Grün. Schwarz mit Rot. Ja auch mit den ex-SED, wenn es denn sein muss. #Brandmauer sei Dank!

Die einzige Kanzlerkandidatin, die die Probleme richtig ansprach UND auch die nötigen Konsequenzen, die daraus abzuleiten sind – etwa in der Energiepolitik, in der Migrationspolitik, in der Wirtschaftspolitik usw. usf. – war unsere Frau Dr. Weidel.
Es bleibt der Appel: Setzt auf die einzig wahre Alternative! Wählt am 23.02. die AfD, damit es ENDLICH zu einem nötigen Politikwechsel kommt. Sonst haben wir wieder 4 Jahre „weiter so“. 4 Jahre Stillstand. 4 Jahre näher dem endgültigen Abgrund.
2029 darf man dann buchstäblich nur noch das Licht ausmachen!

In diesem Sinne! Wählt schlau, wählt blau!
Eure Ulrike",de,16-12-2024,"['Scholz', 'Frau Dr. Weidel']"
"Was für ein historischer Tag! Der <redacted_mention> hat heute die Vertrauensfrage gestellt, und der Bundestag hat entschieden: Es wird Neuwahlen geben. Ein Schritt, der Klarheit schafft – den wir Grüne und auch ich persönlich für richtig halten. Dieses Land braucht neue, arbeitsfähige Mehrheiten, um wieder voranzukommen.

Danke, <redacted_mention>, für das Vertrauen und die Zusammenarbeit in den letzten drei Jahren als Staatsministerin für Kultur und Medien. Gemeinsam konnten wir wichtige Projekte anstoßen: Kultur in ihrer ganzen Vielfalt stärken – vom kleinen Plattenladen um die Ecke bis zur großen Oper. Kulturelle Teilhabe fördern, besonders für junge Menschen, etwa mit der großartigen <redacted_mention>. Kunst und Kultur den Stellenwert geben, den sie verdienen – als Sound unserer Demokratie und als Herzstück unserer Gesellschaft.

Gerade in diesen herausfordernden Zeiten braucht es Mut, Verantwortung zu übernehmen – und den Menschen die Möglichkeit zu geben, über die Zukunft zu entscheiden. Deshalb ist es gut und richtig, dass wir als <redacted_mention> diesen Weg mit der Enthaltung bei der Vertrauensfrage freigemacht haben. Gleichzeitig bleiben wir handlungsfähig, pragmatisch und fokussiert auf das, was wirklich zählt: Klimaschutz, Gerechtigkeit und gesellschaftlichen Zusammenhalt.

Jetzt ist die Zeit für Aufbruch, für Vertrauen und für eine Politik, die wieder Zuversicht schafft. Packen wir es an – mutig, entschlossen und gemeinsam. Für eine Zukunft, die allen gehört.

💚 Mit Zukunftsmut und klarer Haltung.

📸: Team Roth",de,16-12-2024,"['Bundestag', 'Neuwahlen']"
"Ein guter Tag für Deutschland! 🇩🇪

Heute ist ein historischer Tag für unser Land! Olaf Scholz hat die Vertrauensfrage verloren – ein klares Zeichen gegen die Altparteien! 

Jetzt ist der Zeitpunkt gekommen, Deutschland in eine neue Richtung zu führen: hin zu Sicherheit, Stabilität und einer Politik, die wieder die Interessen unserer Bürger in den Mittelpunkt stellt. 

Es ist Zeit für einen echten Neuanfang – mit der AfD, für eine Politik mit Herz und Verstand! 💙",de,16-12-2024,"['Deutschland', 'Olaf Scholz', 'AfD']"
"Heute hat Bundeskanzler Olaf Scholz die Vertrauensfrage gemäß Artikel 68 Grundgesetz gestellt. Im Anschluss an die Aussprache hat der Deutsche Bundestag in einer namentlichen Abstimmung hierüber abgestimmt. 
Ich habe dem Bundeskanzler mein Vertrauen nicht ausgesprochen und somit mit NEIN gestimmt. Drei Jahre uneinige und in vieler Hinsicht für Deutschland fatale Regierungszeit unter seiner Führung liegen hinter uns. In dieser Zeit haben sich die Rahmenbedingungen für unsere Unternehmen und die wirtschaftliche Lage Deutschlands massiv verschlechtert. Notwendige Reformen, z.B. bei der Infrastruktur oder Digitalisierung, wurden verzögert, Fehlentscheidungen, wie zum Beispiel das Cannabisgesetz und das Selbstbestimmungsgesetz, getroffen. Deutschlands Rolle in Europa wurde unter seiner Führung nicht ausgefüllt. 

Der Bundeskanzler hat die Vertrauensfrage verloren, da die Mehrheit der Mitglieder des Bundestages Olaf Scholz heute ebenfalls das Vertrauen entzogen hat. Daher kann der Bundespräsident auf Vorschlag des Bundeskanzlers nun binnen 21 Tagen den Deutschen Bundestag auflösen.
Im Anschluss erfolgen Neuwahlen innerhalb von 60 weiteren Tagen. Vorgesehen sind diese für den 23. Februar 2025.
Wir brauchen dann einen klaren und entschlossenen Politikwechsel und eine starke und handlungsfähige Regierung.",de,16-12-2024,"['Olaf Scholz', 'Deutsche Bundestag', 'Deutschland', 'Deutschlands', 'Deutschen Bundestag', 'Neuwahlen']"
"Was folgt jetzt aus der Vertrauensfrage?

Wir haben heute über die Vertrauensfrage von Olaf Scholz abgestimmt. Das Ergebnis liegt vor: Jetzt kann der Bundespräsident die Auflösung des Bundestages einleiten.

Damit ist der Weg freigegeben für die Wahlen am 23. Februar 2025.

🔑 Was bedeutet das konkret?
➡️ Das Parlament bleibt weiterhin aktiv.
➡️ Die Regierung wird weiterhin arbeiten.
➡️ Unser Land bleibt in diesem Verfahren handlungsfähig und kann die wichtigen Aufgaben weiterhin angehen.

In dieser Übergangszeit ist es entscheidend, dass Stabilität und Verantwortung im Vordergrund stehen. Wir blicken nach vorne!",de,16-12-2024,"['Olaf Scholz', 'Bundestages', 'Wahlen', 'Parlament', 'Regierung', 'Unser Land']"
"Das war ein historischer Tag, den Deutschland zum Glück nicht so oft erlebt. Nach der #Vertrauensfrage ist der Weg jetzt frei für zügige, geordnete und faire #Neuwahlen Ende Februar.",de,16-12-2024,"['Deutschland', '#Vertrauensfrage', 'Neuwahlen']"
"Der schlechteste Kanzler hat versagt, die schlechteste Regierung der Bundesrepublik ist endlich am Ende. Der Weg für Neuwahlen ist frei – jetzt braucht Deutschland einen echten Neuanfang!

#neuwahlen #olafscholz #regierung #deutschland #politik",de,16-12-2024,"['Der schlechteste Kanzler', 'Bundesrepublik', 'Neuwahlen', 'Deutschland', 'neuwahlen', 'olafscholz', 'deutschland']"
Trotz einem vollen Terminkalender habe ich mir eine Stunde Zeit genommen und die Abschlussklasse des Goethegymnasiums aus Hildesheim im Deutschen Bundestag zu empfangen. Wir haben sehr intensiv über das Thema „Diskussionskultur im politischen Kontext“ diskutiert. Wirklich sehr gute Diskussion und hochmotivierte Schülerinnen und Schüler. Ich habe mich sehr über euren Besuch gefreut und wünsche euch viel Erfolg für das Abi im nächsten Jahr.,de,16-12-2024,"['Goethegymnasiums', 'Hildesheim', 'Deutschen Bundestag', 'Abi']"
"DIE AMPEL HAT FERTIG, BEZWEIFLE DASS BESSERES NACHKOMMT UND MEINE FDP
IST FAST FERTIG!

Das erwartet die washingtonpost.com  von Friedrich Merz  und/oder Dr. Markus Söder    . Wenn es denn käme, wäre ich nicht unglücklich. Ich fürchte aber, dass durch Koalitionspartner wie Sozialdemokratische Partei Deutschlands (SPD) oder BÜNDNIS 90/DIE GRÜNEN  die ganze #Misere nur schlimmer wird.

Krise statt Krisenbekämpfung: Diese Regierung hatte Deutschland nicht verdient. 
#Robert #Habecks Strategie, erst einmal das alte Wohlstandsmodell wegzuräumen und damit Platz für das hypothetische neue zu schaffen hat bei allen gewirkt. SPD und FDP haben es zugelassen.
Gestern im Fernsehen habe ich einen #PeerSteinbrück erlebt, wie ich Sozialdemokraten früher erlebt habe. die heutige SPD ist ein Schatten ihrer selbst.

Von #Heizungsgesetz überdie Reform des #Staatsbürgerschaftsrechts bis zum #Selbstbestimmungsgesetz hat meine FDP noch jedes linke Prestigeprojekt der Ampel-Koalition mitgetragen. Sie ließ eine Gelegenheit nach der anderen ungenutzt, jetzt aber wirklich eine #roteLinie zu ziehen. 
Ich habe beim Heizungsgesetz den Austritt aus der Ampel gefordert. Mein Post hat es bis in die Tagesschau geschafft. Damals hat es den Nerv des Volkes getroffen, und wir lagen bei über 8 %. Jetzt kämpft man um ums #Überleben .
Und so stümperhaft, wie man den Ausstieg vorbereitet hat, den alle, aber Ampel- Parteien ohne Papiere präzisevorbereitet haben, das kenne ich nur von meiner perfektionistischen FDP. Welch Tollpatscherei

NEUE LIBERALE PLATTFORM? 

Wenn die FDP jetzt den Bach runtergeht, überlege ich ernsthaft für die nächsten Wahlen in 2029 oder früher(falls vorgezogene Wahlen) die Gründung einer Plattform für die Freiheit, sozusagen hat ja Österreich mit den NEOS einen Prototypen vorgelegt. denn das kann es ja nicht gewesen sein.",de,16-12-2024,"['Friedrich Merz', 'Deutschlands', 'Deutschland', 'Heizungsgesetz', 'Österreich']"
"Olaf Scholz ist der erste Kanzler, der eine Vertrauensfrage verlieren wollte und trotzdem mit „Ja“ gestimmt hat. Nicht einmal das kann er. Er spricht der FDP die sittliche Reife ab, dabei fehlt ihm selbst die intellektuelle Reife. WK",de,16-12-2024,"['Olaf Scholz', 'FDP']"
"Es geht um eine klare Zukunftsentscheidung.

Dieses Bild von Olaf Scholz und mir stammt von der ersten Fraktionssitzung nach der Bundestagswahl 2021. Schon damals war klar: Olaf Scholz ist ein Kanzler, der auch in schwierigen Zeiten Verantwortung übernimmt und Entscheidungen für die Zukunft trifft.

Heute hat er mit der Vertrauensfrage einen mutigen Schritt gemacht. Es geht um die Frage, wer Deutschland sicher, sozial und zukunftsorientiert durch diese Zeiten führen kann. Genau diese Zukunftsperspektive gibt es mit Olaf Scholz und der SPD. Wir können zeigen, dass Fortschritt und Zusammenhalt keine Gegensätze sind.

Mit der heutigen Abstimmung hat Olaf Scholz den Bundespräsidenten gebeten, den Bundestag aufzulösen und damit den Weg für Neuwahlen freizumachen.

Ich bin überzeugt: Olaf Scholz hat die politische Erfahrung und das richtige Programm, um unser Land zu regieren. ✊🌹
.
.
.
#SPD #Bundestag #Vertrauensfrage #TeamScholz #PfalzImHerzen #MenschenImBlick #Pfalz Olaf Scholz",de,16-12-2024,"['Olaf Scholz', 'Bundestagswahl 2021', 'Deutschland', 'Bundestag']"
"Heute wird ein bisschen gefeiert, denn heute war ein guter Tag für #Deutschland! Olaf Scholz hat das Vertrauen im #Bundestag verloren. Hinter dem Bundeskanzler standen nur die SPD sowie einige AfD- und Ex-AfD-Abgeordnete. Bizarr. 

Im Konrad-Adenauer-Haus sitzen wir unter den Parteivorständen von #CDU und #CSU bei einer zünftigen bayerischen Brotzeit zusammen. Allen einen gemütlichen Abend und einen guten Start in die Woche!

#Vertrauensfrage #AmpelAus #Neuwahlen",de,16-12-2024,"['Deutschland', 'Olaf Scholz', 'Konrad-Adenauer-Haus']"
"Mit voller Kraft voraus! 🚀
Die CDU Rheinland-Pfalz geht hochmotiviert aus der Landesvertreterversammlung in Bingen hervor. 
💪 Mit 32 starken Kandidatinnen und Kandidaten blicken wir voller Zuversicht auf die Bundestagswahl 2025.
Wir sind bereit, für die Werte und Überzeugungen zu kämpfen, die unser Land voranbringen.
#cdu #cdurlp #rheinlandpfalz #btw25 #bundestagswahl #team",de,16-12-2024,"['Bingen', 'Bundestagswahl 2025', 'btw25', 'bundestagswahl']"
#Politikwechsel. Bei uns Programm. Morgen. 11.30 Uhr.,de,16-12-2024,['Politikwechsel']
"Die Bürgerinnen und Bürger in Deutschland entscheiden: Mit der Vertrauensfrage im Bundestag hat der Bundeskanzler die Entscheidung, wie es in Deutschland weitergeht in die Hände der Bürgerinnen und Bürger gelegt. 

Bundeskanzler Olaf Scholz hat in den vergangenen Jahren, trotz all des Streits und Blockaden durch die FDP die dringend notwendige Modernisierung des Landes vorangebracht. Vieles, wie die begonnene sicherheitspolitische Zeitenwende, die Kernsanierung der Bahn, der deutlich beschleunigte Ausbau von Erneuerbaren Energien werden in Zukunft ihre volle Wirkung entfalten. 

Wir haben den Mindestlohn erhöht, die Inflation gebremst und mit riesigen Energiepreisbremsen Arbeitsplätze gesichert und eine große Energiekrise für die Menschen vermieden. Nun geht es darum, wie es weitergeht: 

Olaf Scholz hat die politische Erfahrung und das richtige Programm, um unser Land in die Zukunft zu führen. Friedrich Merz ist für unkontrollierte Ausbrüche bekannt. Er hat noch nie in Deutschland
Regierungsverantwortung getragen. Er ist der falsche Kanzler für Deutschlands Zukunft.

#spd #bundestag #demokratie #vertrauensfrage #politik",de,16-12-2024,"['Deutschland', 'Vertrauensfrage', 'Bundestag', 'Olaf Scholz', 'Friedrich Merz', 'Deutschlands', 'bundestag', 'vertrauensfrage']"
"Unser Vertrauen hat Kanzler #Scholz verloren.
Alle 196 CDU/CSU-Bundestagsabgeordneten haben ihm das Vertrauen heute im Plenum des Bundestages entzogen.

@merzcu begründet das Misstrauen in seiner Rede, wie ihr im Video seht!👆🏻

#Vertrauensfrage",de,16-12-2024,['Bundestages']
"#Vertrauensfrage im Bundestag gescheitert, die #Neuwahlen können kommen! Wir freuen uns auf den 23. Februar. 💪🏻🇩🇪

#AfD #ZeitfürDeutschland #leiferikholm #wahlkreis12",de,16-12-2024,"['Bundestag', 'Neuwahlen', 'leiferikholm']"
"Ich bin erleichtert, dass es jetzt zu Neuwahlen 🗳 kommen kann, nachdem der Deutsche Bundestag heute Olaf Scholz das Vertrauen nicht ausgesprochen hat.

Wir brauchen dringend einen Aufbruch in Deutschland 🇩🇪.

Es kann nicht so weiter gehen wie im Moment. Vor allem mit Blick auf die Wirtschaftslage braucht es ganz schnell Veränderungen, damit es wieder aufwärts und nach vorne gehen kann. Packen wir’s an! 💪",de,16-12-2024,"['Neuwahlen', 'Deutsche Bundestag', 'Olaf Scholz', 'Deutschland']"
"Vertrauensfrage gestellt, Weg für Neuwahlen frei 😎🇩🇪🗳️

Denkwürdiger Tag im Bundestag: Bei der heutigen namentlichen Abstimmung „Trauen wir uns zu, als starkes Land kraftvoll in unsere Zukunft zu investieren?“ auf Grundlage von Artikel 68 des Grundgesetzes – der Vertrauensfrage des Bundeskanzlers – habe ich mit ja gestimmt. Olaf Scholz hat klar gemacht, worum es geht: Unser Land steht vor großen Herausforderungen, besonders in der Wirtschaft. So groß, dass es dafür allerdings ein neues Votum von uns allen braucht.

Innere, äußere und soziale Sicherheit können nicht gegeneinander ausgespielt werden. Wirtschaft, Energie und Infrastruktur, Bildung, Gesundheitsversorgung, nicht zuletzt die Sicherheit unseres Landes und so viele weiteren Bereiche müssen endlich fit für die Zukunft gemacht werden! Diese Wahl wird mehr denn je richtungsweisend für unser Land sein. Daher geben wir jetzt volle Kraft voraus in Richtung Neuwahlen 🗳️

#Vertrauensfrage #möllermittendrin",de,16-12-2024,"['Neuwahlen', 'Bundestag', 'Olaf Scholz', 'Unser Land', 'unser Land']"
